Save Reason,Guardar Motivo
No Order Selected,No ha Seleccionado Pedido
No Seller Selected,No ha Seleccionado Vendedor
No Resolution Selected,No ha Seleccionado Resolución
Items not available for RMA,Productos no disponible para ser Devuelto
Select Quantity,Seleccionar Cantidad
Select Seller,Seleccionar Vendedor
Quantity not available,Cantidad no disponible
Orders,Pedidos
Select Order,Seleccione Pedido
Items Ordered,Productos Pedidos
Product,Producto
Sku,Código del Producto
Price,Precio Unitario
Quantity,Cantidad
Add Images,Agregar Imágenes
Submit Request,Procesar Devolución
Close RMA,Cerrar Devolución
Please Agree To Mark it as solved.,Por Favor acepte marcarlo como resuelto.
Item(s) Requested for RMA,Productos solicitado para Devolución
Conversations,Conversaciones
Administrator,Administrator
Return Qty,Cantidad Devuelta
Email,Correo Electrónico
Login,Iniciar Sesión
Requested RMA,Devolución Solicitada
Hello,Hola
RMA Id :,Devolución Id:
Order Id :,Pedido Id:
Order Status :,Estatus del Pedido:
Resolution Type :,Tipo de Resolución:
Additional Information :,Información Adicional:
Thank you,Muchas Garcias!
Message :,Mensaje:
Seller Status :,Estatus del Vendedor:
RMA Status :,Estatus de Devolución:
Select Resolution,Seleccione Resolución
Webkul,Webkul
Marketplace RMA System,Sistema de Devoluciones del Marketplace
General Settings,Configuración General
Enable Notification to Admin,Habilitar Notificación al Administrador
Default Allowed Days,Días Permitidos Predeterminados
Admin Email Id,Id Correo Electrónico del Administrador
Order Ref,Ref. Pedido
Customer Name,Nombre del Cliente
Status (Seller),Estatus (Vendedor)
Action,Acción
Add New Reason,Agregar Nuevo Mótivo
Delete,Eliminar
Do you want to delete selected entries?,¿Deseas eliminar las entradas seleccionadas?
ID,ID
Id,Id
Sender,Remitente
Time,Hora
RMA Returns,Devoluciones RMA
Customer RMA Panel,Administración de Devoluciones
New RMA Request,Solicitud de Nueva Devolución
Guest RMA Panel,Panel de Devoluciones de Visitante
Guest Login Panel,Panel Inicio de Sesión de Visitante
RMA System,Sistema de Devoluciones
Manage RMA,Administrar Devoluciones
Manage RMA Reasons,Administrar Motivo de Devoluciones
Order's Status,Estatus de Pedidos
Return to Stock,Regresar al Inventario
Received Package,Paquete Recibido
Not Receive Package yet,Paquete No Recibido
Add Image,Agregar Imágen
Delete Showcase,Eliminar
Back,Regresar
Print RMA,Imprimir Devolución
