"List Sharing","Compartir Listas"
"Your search returned no products.","Your search returned no products."
"Max value is","Max value is"
"Min value is","Min value is"
"Are you sure? This action can't be undone.","Are you sure? This action can't be undone."
"Choose the list for selected product","Escoge una lista para el producto seleccionado"
"Add to List","Agregar a Lista"
"Unselect all","Deseleccionar todos"
"Select all","Seleccionar todos"
"Please choose a List","Por favor selecciona una Lista"
"Amasty Multiple Wishlist","Amasty Multiples Lista de Compras"
"Multiple Wishlist","Multiples Lista de Compras"
Information,Información
General,General
Enabled,Activado
"Allow List Sharing via","Permitir Compartir List vía"
"Customer Notifications","Notificación de Clientes"
"Send Price Alerts","Enviar Alerta de Precio"
"If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists.","If enabled, customers will get notified about changes of product prices in their Wish and Requisition lists."
Frequency,Frecuencia
"Start Time","Hora de Inicio"
"Email Sender","Remitente de Correo Electrónico"
"Email Template","Plantilla de Correo Electrónico"
"Select the appropriate template for the email notifications.","Select the appropriate template for the email notifications."
"List Name","Nombre de la Lista"
"List Type","Tipo de Lista"
Comment,Comentario
ID,ID
Thumbnail,Thumbnail
"Total number of Lists the item is present in","Total number of Lists the item is present in"
"Number of Wish Lists","Número de Listas de Compras"
"Number of Requisition Lists","Número de Listas de Caja Chica"
"Last time added on","Last time added on"
"Stock Qty","Cantidad en Inventario"
"Product Details and Comment","Detalle del Producto y Comentarios"
"Search by SKU or Product Name","Buscar por Código o Nombre del Producto"
"Copy Selected","Copiar Selección"
"Move Selected","Mover Selección"
"Select All","Seleccinar Todo"
"Add All to Cart","Agregar Todo al Carrito"
